src_A,src_B,mean_tanimoto,max_tanimoto,n_pairs
KW_2014,YR_2024,0.4226044564856442,0.9069767441860465,1582
KS_2024,NC_2024,0.4214181797073722,0.9655172413793104,284
SB_2024,YY_2023,0.41805729383952167,0.5531914893617021,6
YY_2023,ZL_2022,0.4180409072587218,0.6111111111111112,52
LZ_2025,YY_2023,0.4168947792884297,0.5365853658536586,70
KS_2024,SB_2024,0.4159984962212194,0.6046511627906976,9
BL_2024,SB_2024,0.41524084377244486,0.6101694915254238,30
KS_2024,YR_2024,0.411939966186947,0.7647058823529411,226
AP_2025,YX_2024,0.41094950364338856,0.6486486486486487,1284
BL_2023,SB_2024,0.4108725180500334,0.4925373134328358,36
SY_2025,YX_2023,0.4098933275607885,0.5606060606060606,15
JW_2024,SS_2018,0.40884849912893356,0.6938775510204082,78
KW_2014,SB_2024,0.40526243726971856,0.6046511627906976,57
LR_2023,YX_2023,0.40508867493365425,0.578125,424
BL_2024,SP_2020,0.4047986011604842,0.6551724137931034,164
KS_2024,ZL_2022,0.40472626857829874,0.75,76
BL_2023,SP_2020,0.40328494543397597,1.0,184
LL_2025,YZ_2024,0.4032258064516129,0.4032258064516129,16
LL_2025,SP_2020,0.4032258064516129,0.4032258064516129,1
LL_2025,YZ_2022,0.4032258064516129,0.4032258064516129,17
BL_2024,YZ_2022,0.4028026679736259,0.6551724137931034,3458
BL_2024,YZ_2024,0.4027032954652335,0.6551724137931034,3294
BL_2023,YZ_2022,0.40258266761559713,1.0,3932
BL_2023,YZ_2024,0.40254819079633836,1.0,3748
YY_2023,ZC_2023,0.4024016986685478,0.6379310344827587,84
SS_2018,YY_2023,0.4014701535750543,0.5531914893617021,6
BL_2024,LR_2023,0.39983962102044257,0.6233766233766234,1418
AA_2008,KW_2014,0.3994839765198779,1.0,2917
AP_2025,JC_2023,0.39133470383847474,0.6027397260273972,146
KS_2024,LZ_2025,0.3913140204368478,0.55,101
NC_2024,YR_2024,0.3866792211523594,0.7297297297297297,422
JL_2024,SS_2018,0.3866789363600616,0.7105263157894737,24
BL_2024,SX_2025,0.3864832196557805,0.65625,408
JW_2024,YY_2023,0.3859248793997297,0.6666666666666666,988
KS_2024,SS_2018,0.38589570953197533,0.6046511627906976,9
KL_2010,LL_2025,0.3858820284082326,0.4489795918367347,5
KW_2014,LZ_2025,0.3844058236100455,0.65,715
KW_2014,SS_2018,0.3838593406684669,0.6046511627906976,57
BL_2024,JW_2024,0.3837856127814431,0.6588235294117647,5304
RG_2023,ZC_2023,0.3823638352276749,0.4861111111111111,212
KW_2014,LR_2023,0.38074984384906063,0.6491228070175439,2683
AA_2008,KS_2024,0.3798121098263831,0.896551724137931,413
NC_2024,SB_2024,0.3792902316165358,0.48,15
JL_2024,LZ_2025,0.3779991947811947,0.4909090909090909,302
LR_2023,NC_2024,0.37771609286930624,0.5818181818181818,716
BL_2024,YX_2024,0.3733887167701701,0.6805555555555556,7712
LR_2023,RG_2023,0.37319768436893885,0.5316455696202531,667
BroadPharm_2024,LZ_2025,0.3730383171237692,0.6046511627906976,138
LR_2023,YR_2024,0.37286451615804606,0.5882352941176471,570
BroadPharm_2024,SP_2020,0.37238244001027715,0.6326530612244898,59
KZ_2016,YY_2023,0.3680442880889023,0.6833333333333333,950
LX_2024_2,YY_2023,0.3658317335195307,0.5967741935483871,148
JW_2024,YX_2023,0.36547761903947673,0.5918367346938775,1586
BroadPharm_2024,YZ_2022,0.3649606051678664,0.6326530612244898,1271
BroadPharm_2024,YZ_2024,0.364599311227518,0.6326530612244898,1212
JW_2024,KW_2014,0.3636288774292226,0.6607142857142857,10036
LR_2023,YX_2024,0.36213138745571466,0.581081081081081,5254
XH_2024,YX_2023,0.36132618760806867,0.6818181818181818,73
BL_2023,SS_2018,0.36122487569552625,0.47761194029850745,36
JW_2024,YR_2024,0.3601052912323687,0.7804878048780488,2132
BL_2023,YY_2023,0.36000656551600513,0.65,440
NC_2024,ZL_2022,0.35999766387092436,0.5789473684210527,138
LZ_2025,NC_2024,0.35735783760477857,0.5,191
BL_2024,ZH_2023,0.35720372172249715,0.5492957746478874,1030
AA_2008,NC_2024,0.3553686001081017,0.8292682926829268,779
LZ_2025,XH_2024,0.354484900752333,0.36538461538461536,45
NC_2024,ZC_2023,0.35439735474049366,0.5454545454545454,226
LL_2025,RG_2023,0.3535985943467095,0.4861111111111111,5
AA_2008,YR_2024,0.3534327941923228,0.8,620
YX_2023,ZL_2022,0.35268431506906067,0.5106382978723404,82
YZ_2024,ZH_2023,0.3522105881510625,0.453125,1631
YZ_2022,ZH_2023,0.35188315941420556,0.453125,1712
LR_2023,ZC_2023,0.35117087670246516,0.5483870967741935,306
LR_2023,LZ_2025,0.35095708562843936,0.5178571428571429,257
BroadPharm_2024,SB_2024,0.3503897334403656,0.4117647058823529,12
JW_2024,NC_2024,0.3502989321775101,0.6037735849056604,2678
BroadPharm_2024,LR_2023,0.35027591427211907,0.5909090909090909,521
YR_2024,ZC_2023,0.34967812270787524,0.5283018867924528,180
JW_2024,YX_2024,0.34956677020031823,0.6470588235294118,19656
KW_2014,ZC_2023,0.3487266556539953,0.6296296296296297,848
AA_2008,ZL_2022,0.3482899638412312,0.6111111111111112,207
RG_2023,SB_2024,0.3477699691901791,0.42857142857142855,15
